tenant_id,unit_id,name,income,credit_score,lease_start
cf398c83,PROP_000_U000,Lori Perez,110852,623,2024-07-10
bea49c7b,PROP_000_U001,Kathryn Jimenez,171416,704,2025-07-02
a4c85386,PROP_000_U003,Shawn Johnson,365167,730,2025-01-17
0fcc6c71,PROP_000_U004,James Ortiz,171832,672,2025-12-28
d5828fae,PROP_000_U005,Jessica Powell,245171,694,2024-03-11
3f1d54ff,PROP_000_U006,Tiffany Lewis,94785,685,2024-06-18
60177463,PROP_000_U007,Ann Stephens MD,142430,701,2025-10-01
b7a10328,PROP_000_U008,Erin Torres,101701,640,2025-08-25
0dbf49d1,PROP_000_U009,Samantha Anderson,157321,682,2024-04-03
3187a83a,PROP_000_U010,Tiffany Rodriguez,104344,707,2024-10-23
3a640bdb,PROP_000_U011,Aaron Stevens,90004,677,2024-08-19
1c79d992,PROP_000_U012,Brittany Hess,118410,636,2024-01-26
ebf274eb,PROP_000_U013,Manuel Barr,58951,743,2024-05-01
c45fe88e,PROP_000_U014,Barbara Sullivan,287153,735,2024-05-19
745b0699,PROP_000_U015,David Rivera,192968,636,2024-03-28
7f75c38b,PROP_000_U016,Marc Palmer,254462,694,2024-12-04
e28fb51f,PROP_000_U017,Christopher Huang,60158,750,2025-03-21
5648f943,PROP_000_U018,David Elliott,129330,836,2025-12-21
8ee5ef90,PROP_000_U019,Brenda Jones,112070,744,2025-07-23
41cfb477,PROP_000_U020,Victoria Stone,192124,622,2024-07-19
104f4060,PROP_000_U021,Ashley Ellis,159338,717,2025-06-14
e26c0358,PROP_000_U022,Kara Chavez,154070,745,2025-09-11
760d6b78,PROP_000_U023,Jonathan Williams,237767,702,2024-12-18
c46e9e3b,PROP_000_U025,Kathleen Tucker,137887,693,2026-01-02
4b6a92f7,PROP_000_U026,Christian Todd,49898,616,2025-07-27
a5e268d3,PROP_000_U027,Sarah Padilla,227876,626,2025-12-24
b526293f,PROP_000_U028,Amber Ford,207119,659,2025-01-01
03533402,PROP_000_U029,Robert Pace,95803,779,2025-02-12
47adc6bf,PROP_000_U030,Susan Wood,20539,686,2024-03-07
ea459dc0,PROP_000_U031,Diana Wise,292891,759,2025-11-14
e68cc56d,PROP_000_U033,Vernon Blackburn,150884,713,2025-01-31
92a9f876,PROP_000_U034,Robert Morgan,120860,721,2025-08-17
98ff1293,PROP_000_U035,Thomas Miller,175434,630,2024-07-18
0d395632,PROP_000_U036,Karen Brown,231058,762,2026-01-03
38fada8d,PROP_000_U038,Daniel Rogers,164822,742,2024-02-18
20e48d02,PROP_000_U039,Christopher Cox,116078,742,2024-12-26
98426e30,PROP_000_U040,Jeremy Bush,93901,711,2025-11-20
83b25cbd,PROP_000_U041,Jennifer Wells,155261,720,2026-01-10
59d1847e,PROP_000_U043,Karen Horn,132004,674,2025-06-22
56af0e12,PROP_000_U044,Kaitlyn Diaz,171563,702,2025-09-15
6834bfa0,PROP_000_U045,Alexander Rivera,169626,691,2024-07-25
25b547f3,PROP_000_U046,Adrienne Oliver,144047,736,2024-06-25
